game_id,quarter,time,away_team,away_score,home_score,home_team,time_sec
202210210ATL,1st Q,12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),,,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),720.0
202210210ATL,1st Q,11:45.0,W. Carter misses 2-pt jump shot from 19 ft,0.0,0.0,,705.0
202210210ATL,1st Q,11:40.0,,0.0,0.0,Defensive rebound by J. Collins,700.0
202210210ATL,1st Q,11:32.0,,0.0,0.0,J. Collins misses 2-pt jump shot from 6 ft,692.0
202210210ATL,1st Q,11:28.0,Defensive rebound by W. Carter,0.0,0.0,,688.0
202210210ATL,1st Q,11:15.0,W. Carter misses 2-pt layup from 2 ft (block by C. Capela),0.0,0.0,,675.0
202210210ATL,1st Q,11:11.0,,0.0,0.0,Defensive rebound by C. Capela,671.0
202210210ATL,1st Q,11:09.0,,0.0,0.0,T. Young misses 3-pt jump shot from 32 ft,669.0
202210210ATL,1st Q,11:05.0,Defensive rebound by P. Banchero,0.0,0.0,,665.0
202210210ATL,1st Q,11:00.0,P. Banchero misses 3-pt jump shot from 25 ft,0.0,0.0,,660.0
202210210ATL,1st Q,10:57.0,,0.0,0.0,Defensive rebound by C. Capela,657.0
202210210ATL,1st Q,10:50.0,,0.0,0.0,D. Murray misses 3-pt jump shot from 25 ft,650.0
202210210ATL,1st Q,10:45.0,Defensive rebound by W. Carter,0.0,0.0,,645.0
202210210ATL,1st Q,10:39.0,W. Carter misses 3-pt jump shot from 24 ft,0.0,0.0,,639.0
202210210ATL,1st Q,10:37.0,,0.0,0.0,Defensive rebound by D. Hunter,637.0
202210210ATL,1st Q,10:21.0,,0.0,0.0,Turnover by D. Murray (out of bounds lost ball),621.0
202210210ATL,1st Q,10:08.0,T. Ross makes 2-pt jump shot from 11 ft (assist by W. Carter),2.0,0.0,,608.0
202210210ATL,1st Q,9:51.0,,2.0,3.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),591.0
202210210ATL,1st Q,9:36.0,T. Ross misses 2-pt jump shot from 12 ft,2.0,3.0,,576.0
202210210ATL,1st Q,9:33.0,,2.0,3.0,Defensive rebound by D. Hunter,573.0
202210210ATL,1st Q,9:16.0,,2.0,3.0,J. Collins misses 2-pt jump shot from 12 ft (block by P. Banchero),556.0
202210210ATL,1st Q,9:12.0,Defensive rebound by P. Banchero,2.0,3.0,,552.0
202210210ATL,1st Q,9:10.0,Shooting foul by J. Collins (drawn by P. Banchero),2.0,3.0,,550.0
202210210ATL,1st Q,9:10.0,P. Banchero makes free throw 1 of 2,3.0,3.0,,550.0
202210210ATL,1st Q,9:10.0,P. Banchero makes free throw 2 of 2,4.0,3.0,,550.0
202210210ATL,1st Q,8:53.0,,4.0,3.0,C. Capela misses 2-pt hook shot from 8 ft,533.0
202210210ATL,1st Q,8:49.0,Defensive rebound by P. Banchero,4.0,3.0,,529.0
202210210ATL,1st Q,8:47.0,J. Suggs misses 3-pt jump shot from 25 ft,4.0,3.0,,527.0
202210210ATL,1st Q,8:42.0,,4.0,3.0,Defensive rebound by J. Collins,522.0
202210210ATL,1st Q,8:40.0,,4.0,5.0,D. Hunter makes 2-pt jump shot from 10 ft,520.0
202210210ATL,1st Q,8:40.0,,4.0,5.0,Shooting foul by T. Ross (drawn by D. Hunter),520.0
202210210ATL,1st Q,8:40.0,,4.0,6.0,D. Hunter makes free throw 1 of 1,520.0
202210210ATL,1st Q,8:28.0,Offensive foul by J. Suggs (drawn by C. Capela),4.0,6.0,,508.0
202210210ATL,1st Q,8:28.0,Turnover by J. Suggs (offensive foul),4.0,6.0,,508.0
202210210ATL,1st Q,8:18.0,,4.0,6.0,D. Hunter misses 2-pt jump shot from 13 ft,498.0
202210210ATL,1st Q,8:14.0,Defensive rebound by F. Wagner,4.0,6.0,,494.0
202210210ATL,1st Q,8:04.0,F. Wagner makes 2-pt dunk from 1 ft,6.0,6.0,,484.0
202210210ATL,1st Q,7:52.0,,6.0,6.0,D. Murray misses 2-pt jump shot from 21 ft,472.0
202210210ATL,1st Q,7:51.0,,6.0,6.0,Offensive rebound by D. Murray,471.0
202210210ATL,1st Q,7:44.0,,6.0,6.0,D. Murray misses 3-pt jump shot from 22 ft,464.0
202210210ATL,1st Q,7:40.0,Defensive rebound by P. Banchero,6.0,6.0,,460.0
202210210ATL,1st Q,7:28.0,T. Ross makes 2-pt jump shot from 4 ft,8.0,6.0,,448.0
202210210ATL,1st Q,7:08.0,,8.0,8.0,J. Collins makes 2-pt jump shot from 8 ft (assist by T. Young),428.0
202210210ATL,1st Q,6:48.0,Turnover by P. Banchero (bad pass; steal by J. Collins),8.0,8.0,,408.0
202210210ATL,1st Q,6:43.0,,8.0,8.0,Turnover by D. Murray (out of bounds lost ball),403.0
202210210ATL,1st Q,6:43.0,,8.0,8.0,Atlanta full timeout,403.0
202210210ATL,1st Q,6:43.0,,8.0,8.0,O. Okongwu enters the game for C. Capela,403.0
202210210ATL,1st Q,6:25.0,F. Wagner misses 3-pt jump shot from 25 ft,8.0,8.0,,385.0
202210210ATL,1st Q,6:22.0,,8.0,8.0,Defensive rebound by D. Hunter,382.0
202210210ATL,1st Q,6:06.0,,8.0,8.0,Turnover by D. Murray (bad pass; steal by P. Banchero),366.0
202210210ATL,1st Q,5:59.0,W. Carter makes 2-pt dunk from 2 ft (assist by P. Banchero),10.0,8.0,,359.0
202210210ATL,1st Q,5:50.0,,10.0,8.0,D. Hunter misses 3-pt jump shot from 26 ft,350.0
202210210ATL,1st Q,5:46.0,,10.0,8.0,Offensive rebound by J. Collins,346.0
202210210ATL,1st Q,5:43.0,,10.0,8.0,Turnover by J. Collins (bad pass; steal by J. Suggs),343.0
202210210ATL,1st Q,5:40.0,Personal foul by D. Hunter (drawn by P. Banchero),10.0,8.0,,340.0
202210210ATL,1st Q,5:30.0,P. Banchero misses 3-pt jump shot from 25 ft,10.0,8.0,,330.0
202210210ATL,1st Q,5:25.0,,10.0,8.0,Defensive rebound by D. Murray,325.0
202210210ATL,1st Q,5:21.0,,10.0,8.0,Shooting foul by F. Wagner (drawn by O. Okongwu),321.0
202210210ATL,1st Q,5:21.0,,10.0,8.0,O. Okongwu misses free throw 1 of 2,321.0
202210210ATL,1st Q,5:21.0,,10.0,8.0,Offensive rebound by Team,321.0
202210210ATL,1st Q,5:21.0,C. Anthony enters the game for J. Suggs,10.0,8.0,,321.0
202210210ATL,1st Q,5:21.0,,10.0,9.0,O. Okongwu makes free throw 2 of 2,321.0
202210210ATL,1st Q,5:11.0,T. Ross misses 3-pt jump shot from 25 ft,10.0,9.0,,311.0
202210210ATL,1st Q,5:07.0,,10.0,9.0,Defensive rebound by J. Collins,307.0
202210210ATL,1st Q,5:01.0,,10.0,11.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),301.0
202210210ATL,1st Q,4:48.0,F. Wagner makes 2-pt hook shot from 4 ft,12.0,11.0,,288.0
202210210ATL,1st Q,4:34.0,,12.0,11.0,D. Hunter misses 2-pt jump shot from 17 ft,274.0
202210210ATL,1st Q,4:31.0,Defensive rebound by P. Banchero,12.0,11.0,,271.0
202210210ATL,1st Q,4:23.0,Shooting foul by O. Okongwu (drawn by W. Carter),12.0,11.0,,263.0
202210210ATL,1st Q,4:23.0,W. Carter makes free throw 1 of 2,13.0,11.0,,263.0
202210210ATL,1st Q,4:23.0,,13.0,11.0,J. Holiday enters the game for J. Collins,263.0
202210210ATL,1st Q,4:23.0,,13.0,11.0,J. Johnson enters the game for D. Murray,263.0
202210210ATL,1st Q,4:23.0,W. Carter makes free throw 2 of 2,14.0,11.0,,263.0
202210210ATL,1st Q,4:08.0,,14.0,11.0,T. Young misses 3-pt jump shot from 28 ft,248.0
202210210ATL,1st Q,4:03.0,Defensive rebound by P. Banchero,14.0,11.0,,243.0
202210210ATL,1st Q,3:58.0,W. Carter makes 2-pt dunk from 1 ft (assist by P. Banchero),16.0,11.0,,238.0
202210210ATL,1st Q,3:49.0,,16.0,11.0,Shooting foul by C. Anthony (drawn by T. Young),229.0
202210210ATL,1st Q,3:49.0,,16.0,12.0,T. Young makes free throw 1 of 2,229.0
202210210ATL,1st Q,3:49.0,,16.0,12.0,C. Capela enters the game for O. Okongwu,229.0
202210210ATL,1st Q,3:49.0,,16.0,13.0,T. Young makes free throw 2 of 2,229.0
202210210ATL,1st Q,3:30.0,Offensive foul by W. Carter (drawn by J. Johnson),16.0,13.0,,210.0
202210210ATL,1st Q,3:30.0,Turnover by W. Carter (offensive foul),16.0,13.0,,210.0
202210210ATL,1st Q,3:30.0,M. Bamba enters the game for P. Banchero,16.0,13.0,,210.0
202210210ATL,1st Q,3:30.0,C. Okeke enters the game for W. Carter,16.0,13.0,,210.0
202210210ATL,1st Q,3:30.0,Violation by Team (delay of game),16.0,13.0,,210.0
202210210ATL,1st Q,3:10.0,,16.0,13.0,C. Capela misses 2-pt jump shot from 6 ft,190.0
202210210ATL,1st Q,3:08.0,,16.0,13.0,Offensive rebound by Team,188.0
202210210ATL,1st Q,3:00.0,,16.0,15.0,D. Hunter makes 2-pt jump shot from 9 ft,180.0
202210210ATL,1st Q,2:43.0,C. Anthony makes 2-pt jump shot from 11 ft,18.0,15.0,,163.0
202210210ATL,1st Q,2:43.0,Shooting foul by T. Young (drawn by C. Anthony),18.0,15.0,,163.0
202210210ATL,1st Q,2:43.0,Orlando full timeout,18.0,15.0,,163.0
202210210ATL,1st Q,2:43.0,C. Anthony makes free throw 1 of 1,19.0,15.0,,163.0
202210210ATL,1st Q,2:29.0,,19.0,17.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),149.0
202210210ATL,1st Q,2:08.0,M. Bamba misses 2-pt jump shot from 21 ft,19.0,17.0,,128.0
202210210ATL,1st Q,2:04.0,,19.0,17.0,Defensive rebound by D. Hunter,124.0
202210210ATL,1st Q,1:53.0,,19.0,17.0,T. Young misses 3-pt jump shot from 26 ft,113.0
202210210ATL,1st Q,1:50.0,,19.0,17.0,Offensive rebound by J. Johnson,110.0
202210210ATL,1st Q,1:41.0,,19.0,17.0,J. Johnson misses 2-pt jump shot from 8 ft,101.0
202210210ATL,1st Q,1:39.0,Defensive rebound by M. Bamba,19.0,17.0,,99.0
202210210ATL,1st Q,1:36.0,C. Anthony makes 2-pt jump shot from 11 ft,21.0,17.0,,96.0
202210210ATL,1st Q,1:36.0,Shooting foul by T. Young (drawn by C. Anthony),21.0,17.0,,96.0
202210210ATL,1st Q,1:36.0,B. Bol enters the game for T. Ross,21.0,17.0,,96.0
202210210ATL,1st Q,1:36.0,R. Hampton enters the game for F. Wagner,21.0,17.0,,96.0
202210210ATL,1st Q,1:36.0,,21.0,17.0,A. Holiday enters the game for D. Hunter,96.0
202210210ATL,1st Q,1:36.0,C. Anthony makes free throw 1 of 1,22.0,17.0,,96.0
202210210ATL,1st Q,1:23.0,,22.0,19.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),83.0
202210210ATL,1st Q,1:04.0,C. Anthony makes 2-pt jump shot from 12 ft,24.0,19.0,,64.0
202210210ATL,1st Q,0:52.0,,24.0,19.0,T. Young misses 3-pt jump shot from 27 ft,52.0
202210210ATL,1st Q,0:49.0,Defensive rebound by C. Okeke,24.0,19.0,,49.0
202210210ATL,1st Q,0:36.0,M. Bamba makes 3-pt jump shot from 25 ft (assist by C. Anthony),27.0,19.0,,36.0
