1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
11:45.0,W. Carter misses 2-pt jump shot from 19 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Collins
11:32.0,,,0-0,,J. Collins misses 2-pt jump shot from 6 ft
11:28.0,Defensive rebound by W. Carter,,0-0,,
11:15.0,W. Carter misses 2-pt layup from 2 ft (block by C. Capela),,0-0,,
11:11.0,,,0-0,,Defensive rebound by C. Capela
11:09.0,,,0-0,,T. Young misses 3-pt jump shot from 32 ft
11:05.0,Defensive rebound by P. Banchero,,0-0,,
11:00.0,P. Banchero misses 3-pt jump shot from 25 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by C. Capela
10:50.0,,,0-0,,D. Murray misses 3-pt jump shot from 25 ft
10:45.0,Defensive rebound by W. Carter,,0-0,,
10:39.0,W. Carter misses 3-pt jump shot from 24 ft,,0-0,,
10:37.0,,,0-0,,Defensive rebound by D. Hunter
10:21.0,,,0-0,,Turnover by D. Murray (out of bounds lost ball)
10:08.0,T. Ross makes 2-pt jump shot from 11 ft (assist by W. Carter),+2,2-0,,
9:51.0,,,2-3,+3,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young)
9:36.0,T. Ross misses 2-pt jump shot from 12 ft,,2-3,,
9:33.0,,,2-3,,Defensive rebound by D. Hunter
9:16.0,,,2-3,,J. Collins misses 2-pt jump shot from 12 ft (block by P. Banchero)
9:12.0,Defensive rebound by P. Banchero,,2-3,,
9:10.0,Shooting foul by J. Collins (drawn by P. Banchero),,2-3,,
9:10.0,P. Banchero makes free throw 1 of 2,+1,3-3,,
9:10.0,P. Banchero makes free throw 2 of 2,+1,4-3,,
8:53.0,,,4-3,,C. Capela misses 2-pt hook shot from 8 ft
8:49.0,Defensive rebound by P. Banchero,,4-3,,
8:47.0,J. Suggs misses 3-pt jump shot from 25 ft,,4-3,,
8:42.0,,,4-3,,Defensive rebound by J. Collins
8:40.0,,,4-5,+2,D. Hunter makes 2-pt jump shot from 10 ft
8:40.0,,,4-5,,Shooting foul by T. Ross (drawn by D. Hunter)
8:40.0,,,4-6,+1,D. Hunter makes free throw 1 of 1
8:28.0,Offensive foul by J. Suggs (drawn by C. Capela),,4-6,,
8:28.0,Turnover by J. Suggs (offensive foul),,4-6,,
8:18.0,,,4-6,,D. Hunter misses 2-pt jump shot from 13 ft
8:14.0,Defensive rebound by F. Wagner,,4-6,,
8:04.0,F. Wagner makes 2-pt dunk from 1 ft,+2,6-6,,
7:52.0,,,6-6,,D. Murray misses 2-pt jump shot from 21 ft
7:51.0,,,6-6,,Offensive rebound by D. Murray
7:44.0,,,6-6,,D. Murray misses 3-pt jump shot from 22 ft
7:40.0,Defensive rebound by P. Banchero,,6-6,,
7:28.0,T. Ross makes 2-pt jump shot from 4 ft,+2,8-6,,
7:08.0,,,8-8,+2,J. Collins makes 2-pt jump shot from 8 ft (assist by T. Young)
6:48.0,Turnover by P. Banchero (bad pass; steal by J. Collins),,8-8,,
6:43.0,,,8-8,,Turnover by D. Murray (out of bounds lost ball)
6:43.0,,,8-8,,Atlanta full timeout
6:43.0,,,8-8,,O. Okongwu enters the game for C. Capela
6:25.0,F. Wagner misses 3-pt jump shot from 25 ft,,8-8,,
6:22.0,,,8-8,,Defensive rebound by D. Hunter
6:06.0,,,8-8,,Turnover by D. Murray (bad pass; steal by P. Banchero)
5:59.0,W. Carter makes 2-pt dunk from 2 ft (assist by P. Banchero),+2,10-8,,
5:50.0,,,10-8,,D. Hunter misses 3-pt jump shot from 26 ft
5:46.0,,,10-8,,Offensive rebound by J. Collins
5:43.0,,,10-8,,Turnover by J. Collins (bad pass; steal by J. Suggs)
5:40.0,Personal foul by D. Hunter (drawn by P. Banchero),,10-8,,
5:30.0,P. Banchero misses 3-pt jump shot from 25 ft,,10-8,,
5:25.0,,,10-8,,Defensive rebound by D. Murray
5:21.0,,,10-8,,Shooting foul by F. Wagner (drawn by O. Okongwu)
5:21.0,,,10-8,,O. Okongwu misses free throw 1 of 2
5:21.0,,,10-8,,Offensive rebound by Team
5:21.0,C. Anthony enters the game for J. Suggs,,10-8,,
5:21.0,,,10-9,+1,O. Okongwu makes free throw 2 of 2
5:11.0,T. Ross misses 3-pt jump shot from 25 ft,,10-9,,
5:07.0,,,10-9,,Defensive rebound by J. Collins
5:01.0,,,10-11,+2,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young)
4:48.0,F. Wagner makes 2-pt hook shot from 4 ft,+2,12-11,,
4:34.0,,,12-11,,D. Hunter misses 2-pt jump shot from 17 ft
4:31.0,Defensive rebound by P. Banchero,,12-11,,
4:23.0,Shooting foul by O. Okongwu (drawn by W. Carter),,12-11,,
4:23.0,W. Carter makes free throw 1 of 2,+1,13-11,,
4:23.0,,,13-11,,J. Holiday enters the game for J. Collins
4:23.0,,,13-11,,J. Johnson enters the game for D. Murray
4:23.0,W. Carter makes free throw 2 of 2,+1,14-11,,
4:08.0,,,14-11,,T. Young misses 3-pt jump shot from 28 ft
4:03.0,Defensive rebound by P. Banchero,,14-11,,
3:58.0,W. Carter makes 2-pt dunk from 1 ft (assist by P. Banchero),+2,16-11,,
3:49.0,,,16-11,,Shooting foul by C. Anthony (drawn by T. Young)
3:49.0,,,16-12,+1,T. Young makes free throw 1 of 2
3:49.0,,,16-12,,C. Capela enters the game for O. Okongwu
3:49.0,,,16-13,+1,T. Young makes free throw 2 of 2
3:30.0,Offensive foul by W. Carter (drawn by J. Johnson),,16-13,,
3:30.0,Turnover by W. Carter (offensive foul),,16-13,,
3:30.0,M. Bamba enters the game for P. Banchero,,16-13,,
3:30.0,C. Okeke enters the game for W. Carter,,16-13,,
3:30.0,Violation by Team (delay of game),,16-13,,
3:10.0,,,16-13,,C. Capela misses 2-pt jump shot from 6 ft
3:08.0,,,16-13,,Offensive rebound by Team
3:00.0,,,16-15,+2,D. Hunter makes 2-pt jump shot from 9 ft
2:43.0,C. Anthony makes 2-pt jump shot from 11 ft,+2,18-15,,
2:43.0,Shooting foul by T. Young (drawn by C. Anthony),,18-15,,
2:43.0,Orlando full timeout,,18-15,,
2:43.0,C. Anthony makes free throw 1 of 1,+1,19-15,,
2:29.0,,,19-17,+2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young)
2:08.0,M. Bamba misses 2-pt jump shot from 21 ft,,19-17,,
2:04.0,,,19-17,,Defensive rebound by D. Hunter
1:53.0,,,19-17,,T. Young misses 3-pt jump shot from 26 ft
1:50.0,,,19-17,,Offensive rebound by J. Johnson
1:41.0,,,19-17,,J. Johnson misses 2-pt jump shot from 8 ft
1:39.0,Defensive rebound by M. Bamba,,19-17,,
1:36.0,C. Anthony makes 2-pt jump shot from 11 ft,+2,21-17,,
1:36.0,Shooting foul by T. Young (drawn by C. Anthony),,21-17,,
1:36.0,B. Bol enters the game for T. Ross,,21-17,,
1:36.0,R. Hampton enters the game for F. Wagner,,21-17,,
1:36.0,,,21-17,,A. Holiday enters the game for D. Hunter
1:36.0,C. Anthony makes free throw 1 of 1,+1,22-17,,
1:23.0,,,22-19,+2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young)
1:04.0,C. Anthony makes 2-pt jump shot from 12 ft,+2,24-19,,
0:52.0,,,24-19,,T. Young misses 3-pt jump shot from 27 ft
0:49.0,Defensive rebound by C. Okeke,,24-19,,
0:36.0,M. Bamba makes 3-pt jump shot from 25 ft (assist by C. Anthony),+3,27-19,,
0:30.0,,,27-19,,Turnover by T. Young (bad pass)
0:13.0,M. Bamba misses 3-pt jump shot from 24 ft,,27-19,,
0:09.0,,,27-19,,Defensive rebound by A. Holiday
0:05.0,,,27-19,,Personal foul by R. Hampton (drawn by T. Young)
0:00.0,,,27-19,,Turnover by T. Young (bad pass)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Orlando,,Score,,Atlanta
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
12:00.0,,,27-19,,Violation by Team (delay of game)
