1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Denver,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Utah
12:00.0,Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession)
11:48.0,,,0-0,,Turnover by M. Conley (bad pass; steal by A. Gordon)
11:43.0,A. Gordon makes 2-pt dunk from 2 ft,+2,2-0,,
11:29.0,,,2-0,,J. Clarkson misses 3-pt jump shot from 27 ft
11:28.0,Defensive rebound by Team,,2-0,,
11:05.0,Shooting foul by K. Olynyk (drawn by M. Porter),,2-0,,
11:05.0,M. Porter makes free throw 1 of 2,+1,3-0,,
11:05.0,M. Porter misses free throw 2 of 2,,3-0,,
11:03.0,,,3-0,,Defensive rebound by J. Vanderbilt
10:45.0,,,3-2,+2,L. Markkanen makes 2-pt jump shot from 20 ft (assist by M. Conley)
10:26.0,J. Murray makes 2-pt jump shot from 17 ft,+2,5-2,,
10:06.0,,,5-4,+2,L. Markkanen makes 2-pt hook shot from 4 ft
9:57.0,A. Gordon makes 2-pt layup from 3 ft,+2,7-4,,
9:47.0,,,7-4,,Turnover by M. Conley (bad pass; steal by J. Murray)
9:43.0,A. Gordon makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),+2,9-4,,
9:37.0,,,9-7,+3,J. Clarkson makes 3-pt jump shot from 23 ft (assist by L. Markkanen)
9:23.0,J. Murray misses 2-pt jump shot from 12 ft,,9-7,,
9:21.0,,,9-7,,Defensive rebound by J. Vanderbilt
9:18.0,,,9-7,,J. Clarkson misses 3-pt jump shot from 28 ft
9:15.0,Defensive rebound by J. Murray,,9-7,,
9:04.0,Personal foul by J. Vanderbilt (drawn by M. Porter),,9-7,,
8:59.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,9-7,,
8:56.0,,,9-7,,Defensive rebound by J. Vanderbilt
8:48.0,,,9-7,,Turnover by K. Olynyk (bad pass; steal by N. JokiÄ)
8:43.0,J. Murray makes 2-pt layup from 2 ft,+2,11-7,,
8:43.0,,,11-7,,Utah full timeout
8:32.0,,,11-7,,L. Markkanen misses 2-pt jump shot from 10 ft
8:30.0,,,11-7,,Offensive rebound by Team
8:28.0,,,11-10,+3,K. Olynyk makes 3-pt jump shot from 25 ft (assist by M. Conley)
8:16.0,A. Gordon misses 3-pt jump shot from 25 ft,,11-10,,
8:13.0,,,11-10,,Defensive rebound by J. Clarkson
8:05.0,,,11-13,+3,M. Conley makes 3-pt jump shot from 25 ft (assist by K. Olynyk)
7:48.0,M. Porter misses 3-pt jump shot from 25 ft,,11-13,,
7:46.0,,,11-13,,Defensive rebound by J. Vanderbilt
7:37.0,,,11-13,,L. Markkanen misses 3-pt jump shot from 24 ft
7:32.0,Defensive rebound by A. Gordon,,11-13,,
7:30.0,N. JokiÄ makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),+2,13-13,,
7:13.0,,,13-15,+2,J. Clarkson makes 2-pt jump shot from 10 ft
7:06.0,Personal foul by J. Vanderbilt (drawn by N. JokiÄ),,13-15,,
6:57.0,J. Murray misses 3-pt jump shot from 24 ft,,13-15,,
6:52.0,,,13-15,,Defensive rebound by L. Markkanen
6:43.0,,,13-15,,J. Clarkson misses 2-pt layup from 3 ft
6:40.0,,,13-15,,Offensive rebound by J. Vanderbilt
6:40.0,,,13-17,+2,J. Vanderbilt makes 2-pt layup at rim
6:31.0,N. JokiÄ makes 2-pt jump shot from 7 ft (assist by A. Gordon),+2,15-17,,
6:12.0,,,15-19,+2,K. Olynyk makes 2-pt layup from 2 ft (assist by L. Markkanen)
6:11.0,,,15-19,,Violation by Team (delay of game)
6:02.0,Offensive foul by N. JokiÄ (drawn by K. Olynyk),,15-19,,
6:02.0,Turnover by N. JokiÄ (offensive foul),,15-19,,
6:02.0,B. Brown enters the game for J. Murray,,15-19,,
6:02.0,,,15-19,,W. Kessler enters the game for M. Conley
6:02.0,,,15-19,,C. Sexton enters the game for J. Vanderbilt
5:47.0,,,15-19,,J. Clarkson misses 2-pt layup from 5 ft
5:46.0,,,15-19,,Offensive rebound by Team
5:37.0,,,15-22,+3,K. Olynyk makes 3-pt jump shot from 25 ft (assist by L. Markkanen)
5:15.0,M. Porter makes 2-pt layup from 2 ft (assist by N. JokiÄ),+2,17-22,,
4:59.0,,,17-22,,Turnover by K. Olynyk (bad pass; steal by N. JokiÄ)
4:54.0,B. Brown misses 2-pt layup from 6 ft,,17-22,,
4:54.0,Offensive rebound by Team,,17-22,,
4:54.0,,,17-22,,Loose ball foul by K. Olynyk (drawn by N. JokiÄ)
4:54.0,,,17-22,,R. Gay enters the game for K. Olynyk
4:47.0,M. Porter misses 2-pt layup from 4 ft,,17-22,,
4:45.0,,,17-22,,Defensive rebound by L. Markkanen
4:39.0,,,17-22,,Offensive foul by C. Sexton (drawn by A. Gordon)
4:39.0,,,17-22,,Turnover by C. Sexton (offensive foul)
4:22.0,Shooting foul by L. Markkanen (drawn by N. JokiÄ),,17-22,,
4:22.0,N. JokiÄ makes free throw 1 of 2,+1,18-22,,
4:22.0,B. Hyland enters the game for K. Caldwell-Pope,,18-22,,
4:22.0,D. Reed enters the game for M. Porter,,18-22,,
4:22.0,,,18-22,,M. Beasley enters the game for J. Clarkson
4:22.0,N. JokiÄ makes free throw 2 of 2,+1,19-22,,
4:11.0,,,19-22,,C. Sexton misses 3-pt jump shot from 26 ft
4:08.0,,,19-22,,Offensive rebound by W. Kessler
4:07.0,,,19-24,+2,W. Kessler makes 2-pt layup from 2 ft
3:56.0,Personal foul by R. Gay (drawn by B. Hyland),,19-24,,
3:56.0,B. Hyland makes free throw 1 of 2,+1,20-24,,
3:56.0,J. Green enters the game for A. Gordon,,20-24,,
3:56.0,B. Hyland makes free throw 2 of 2,+1,21-24,,
3:42.0,,,21-24,,Turnover by L. Markkanen (lost ball; steal by J. Green)
3:30.0,J. Green misses 3-pt jump shot from 24 ft,,21-24,,
3:28.0,,,21-24,,Defensive rebound by C. Sexton
3:16.0,,,21-24,,C. Sexton misses 2-pt layup from 7 ft
3:14.0,Defensive rebound by N. JokiÄ,,21-24,,
3:09.0,J. Green makes 2-pt layup from 5 ft (assist by N. JokiÄ),+2,23-24,,
2:58.0,,,23-27,+3,M. Beasley makes 3-pt jump shot from 26 ft (assist by R. Gay)
2:36.0,N. JokiÄ makes 2-pt jump shot from 5 ft,+2,25-27,,
2:25.0,,,25-27,,M. Beasley misses 3-pt jump shot from 25 ft
2:22.0,,,25-27,,Offensive rebound by W. Kessler
2:20.0,,,25-30,+3,L. Markkanen makes 3-pt jump shot from 27 ft (assist by W. Kessler)
2:17.0,Denver full timeout,,25-30,,
2:17.0,D. Jordan enters the game for N. JokiÄ,,25-30,,
2:17.0,,,25-30,,T. Horton-Tucker enters the game for L. Markkanen
2:09.0,B. Brown misses 2-pt jump shot from 14 ft,,25-30,,
2:06.0,,,25-30,,Defensive rebound by W. Kessler
1:58.0,,,25-32,+2,C. Sexton makes 2-pt layup from 3 ft
1:41.0,Turnover by B. Brown (traveling),,25-32,,
1:29.0,,,25-34,+2,T. Horton-Tucker makes 2-pt layup from 3 ft
1:18.0,B. Hyland makes 2-pt layup from 2 ft,+2,27-34,,
1:18.0,,,27-34,,Violation by Team (def goaltending)
