feature,importance_mean,importance_std
offense_score_margin,0.2596148922066003,0.003505294355811378
prev_offense_margin,0.25761668785076164,0.004783171848734257
prev_possession_points,0.0565987475223509,0.005611896435360215
prev_num_events,0.055322391535899886,0.005978584319575246
abs_offense_margin,0.016171609163722622,0.002226057414130434
prev_possession_scored,0.002908091950345737,0.0020657643745118034
start_time_sec,0.002535876354140898,0.000957614003163354
points_last_5_possessions,0.0010623343209361646,0.0019382183791042864
offense_is_home,0.0008484862675235627,0.0015130917544860403
points_last_3_possessions,0.0008250337833741294,0.0005035409509922779
start_game_seconds_elapsed,0.0007598005349814807,0.0015562771244071875
seconds_remaining_in_regulation,0.0007035320704264824,0.0010633897382092297
offense_side,0.0006160124423622903,0.00033143779699530885
home_team_code,0.0004451347438411579,0.0024587876144214434
same_side_scoring_streak,0.0,0.0
last_5_minutes,0.0,0.0
in_overtime,0.0,0.0
last_2_minutes,0.0,0.0
offense_leading,0.0,0.0
offense_tied,-0.00012646792663018047,0.00015489094453584128
period_num,-0.0001897018899452707,0.00015489094453584128
one_possession_game,-0.0003161698165754512,0.0
two_possession_game,-0.0005970705427949419,0.0003093710972274706
offense_trailing,-0.0007099786485005533,0.0008403017551307505
score_rate_last_3_possessions,-0.0010188998639535595,0.0006196694307871812
