slice_col,slice_value,n,accuracy,macro_f1
quarter,1st OT,76,0.8157894736842105,0.8048422597212033
quarter,1st Q,2578,0.808766485647789,0.7996820329715448
quarter,2nd OT,22,0.8636363636363636,0.8610526315789473
quarter,2nd Q,2589,0.7949015063731171,0.7835054176440157
quarter,3rd Q,2570,0.7770428015564202,0.7694295322031606
quarter,4th Q,2460,0.7617886178861789,0.7508255343156777
last_2_minutes,0,9704,0.7888499587798846,0.7791769245364877
last_2_minutes,1,591,0.7445008460236887,0.7342633812253405
offense_is_home,0,5142,0.7903539478802023,0.7801843269727383
offense_is_home,1,5153,0.7822627595575393,0.7729985180838994
